id,date,type,severity,affectedIndustry,country,lat,lng,responseTime,dataBreached,mitigationStrategy,financialImpact,org
1,2019-03-12,Phishing,Critical,Education,China,36.123019,103.622625,63 hours,"773,169 records",VPN,$80.53M,Hacker Group
2,2019-03-03,Ransomware,High,Retail,China,35.308994,103.353437,71 hours,"295,961 records",Firewall,$62.19M,Hacker Group
3,2017-08-26,Man-in-the-Middle,Medium,IT,India,20.98351,77.528382,20 hours,"605,895 records",VPN,$38.65M,Hacker Group
4,2024-07-20,Ransomware,High,Telecommunications,UK,55.394205,-3.644629,7 hours,"659,320 records",AI-based Detection,$41.44M,Nation-state
5,2018-02-06,Man-in-the-Middle,High,IT,Germany,51.277696,10.990642,68 hours,"810,682 records",VPN,$74.41M,Insider
6,2017-08-03,Man-in-the-Middle,Critical,Retail,Germany,52.162836,9.715022,25 hours,"285,201 records",Antivirus,$98.24M,Unknown
7,2016-09-09,DDoS,Medium,Telecommunications,Germany,51.545014,10.487481,34 hours,"431,262 records",VPN,$33.26M,Insider
8,2018-01-23,SQL Injection,High,Government,France,45.785967,3.11993,66 hours,"909,991 records",Antivirus,$59.23M,Unknown
9,2016-07-14,Man-in-the-Middle,Medium,Banking,India,20.347978,78.810301,47 hours,"698,249 records",VPN,$16.88M,Unknown
10,2023-02-25,DDoS,High,Healthcare,UK,55.689127,-3.469896,58 hours,"685,927 records",Firewall,$69.14M,Hacker Group
11,2019-06-14,Phishing,Critical,Telecommunications,China,36.151002,104.126464,29 hours,"493,675 records",VPN,$88.67M,Unknown
12,2016-08-11,SQL Injection,Medium,Healthcare,China,36.134767,103.23554,27 hours,"920,768 records",AI-based Detection,$38.81M,Hacker Group
13,2019-10-17,Ransomware,Medium,Education,India,20.562024,78.263228,37 hours,"583,204 records",Firewall,$30.56M,Insider
14,2023-04-10,DDoS,High,Healthcare,France,46.027747,2.519801,35 hours,"599,797 records",AI-based Detection,$58.37M,Nation-state
15,2024-09-18,DDoS,High,IT,France,46.797817,0.870865,64 hours,"922,258 records",Encryption,$48.01M,Unknown
16,2022-02-28,Phishing,High,Banking,Australia,-25.673521,133.594507,36 hours,"120,789 records",Encryption,$64.31M,Nation-state
17,2017-10-26,Man-in-the-Middle,Medium,Healthcare,Russia,60.902106,104.770059,67 hours,"850,158 records",AI-based Detection,$13.04M,Hacker Group
